time,y1,y2
10:16:26.922, 5,1
10:16:26.930, 5,1
10:16:26.930, 5,1
10:16:26.930, 5,1
10:16:33.134, 5,2
10:16:33.134, 5,2
10:16:33.134, 5,2
10:16:33.135, 5,2
10:16:39.353, 5,3
10:16:39.354, 5,3
10:16:39.354, 5,3
10:16:39.354, 5,3
10:16:45.573, 5,4
10:16:45.573, 5,4
10:16:45.574, 5,4
10:16:45.574, 5,4
10:16:51.794, 5,5
10:16:51.794, 5,5
10:16:51.794, 5,5
10:16:51.794, 5,5
10:16:58.014, 5,5
10:16:58.014, 5,5
10:16:58.015, 5,5
10:16:58.015, 5,5
10:17:04.235, 5,5
10:17:04.235, 5,5
10:17:04.235, 5,5
10:17:04.236, 5,5
10:17:10.456, 5,5
10:17:10.456, 5,5
10:17:10.456, 5,5
10:17:10.457, 5,5
10:17:16.675, 5,5
10:17:16.675, 5,5
10:17:16.676, 5,5
10:17:16.676, 5,5
10:17:22.896, 5,5
10:17:22.897, 5,5
10:17:22.897, 5,5
10:17:22.898, 5,5
10:17:29.116, 5,5
10:17:29.117, 5,5
10:17:29.117, 5,5
10:17:29.117, 5,5
10:17:35.335, 5,5
10:17:35.336, 5,5
10:17:35.336, 5,5
10:17:36.151, 5,5
10:17:41.553, 5,5
10:17:41.554, 5,5
10:17:41.554, 5,5
10:17:42.372, 5,5
10:17:47.773, 5,5
10:17:47.773, 5,5
10:17:48.591, 5,5
10:17:53.995, 5,5
10:17:53.995, 5,5
10:17:54.810, 5,5
10:17:58.814, 5,4
10:18:00.215, 5,5
10:18:00.216, 5,5
10:18:05.035, 5,4
10:18:06.435, 5,5
10:18:07.125, 5,5
10:18:11.251, 5,4
10:18:14.908, 5,5
10:18:16.227, 5,5
10:18:17.476, 5,4
10:18:18.399, 5,3
10:18:22.471, 5,5
10:18:23.694, 5,5
10:18:24.990, 5,3
10:18:28.690, 5,5
10:18:32.286, 5,3
10:18:34.608, 5,3
10:18:34.908, 5,5
10:18:41.127, 5,5
10:18:41.602, 5,3
10:18:42.607, 5,3
10:18:47.348, 5,5
10:18:47.820, 5,3
10:18:48.828, 5,3
10:18:55.046, 5,3
10:18:55.095, 5,4
10:18:59.809, 5,4
10:19:01.270, 5,4
10:19:01.312, 5,2
10:19:06.030, 5,4
10:19:07.490, 5,5
10:19:08.368, 5,2
10:19:12.247, 5,4
10:19:14.586, 5,3
10:19:17.188, 5,3
10:19:18.478, 5,4
10:19:21.281, 5,4
10:19:25.270, 5,3
10:19:25.861, 5,4
10:19:29.312, 5,5
10:19:31.492, 5,3
10:19:32.078, 5,4
10:19:37.711, 5,4
10:19:38.297, 5,4
10:19:43.935, 5,5
10:19:44.517, 5,4
10:19:44.590, 5,3
10:19:47.862, 5,2
10:19:50.153, 5,5
10:19:50.740, 5,5
10:19:50.807, 5,3
10:19:54.080, 5,2
10:19:57.819, 5,4
10:20:00.300, 5,3
10:20:01.022, 5,5
10:20:06.522, 5,4
10:20:08.358, 5,5
10:20:10.038, 5,3
10:20:11.281, 5,4
10:20:12.741, 5,5
10:20:16.260, 5,3
10:20:16.430, 5,4
10:20:22.483, 5,3
