time,y1,y2
10:48:42.794, 5,1
10:48:42.802, 5,1
10:48:42.802, 5,1
10:48:42.803, 5,1
10:48:49.009, 5,2
10:48:49.009, 5,2
10:48:49.010, 5,2
10:48:49.010, 5,2
10:48:55.232, 5,3
10:48:55.232, 5,3
10:48:55.232, 5,3
10:48:55.233, 5,3
10:49:01.450, 5,4
10:49:01.450, 5,4
10:49:01.450, 5,4
10:49:01.451, 5,4
10:49:07.668, 5,5
10:49:07.668, 5,5
10:49:07.668, 5,5
10:49:07.669, 5,5
10:49:13.889, 5,5
10:49:13.889, 5,5
10:49:13.889, 5,5
10:49:13.889, 5,5
10:49:20.108, 5,5
10:49:20.108, 5,5
10:49:20.109, 5,5
10:49:20.109, 5,5
10:49:26.327, 5,5
10:49:26.327, 5,5
10:49:26.327, 5,5
10:49:26.328, 5,5
10:49:32.546, 5,5
10:49:32.546, 5,5
10:49:32.546, 5,5
10:49:32.547, 5,5
10:49:38.764, 5,5
10:49:38.765, 5,5
10:49:38.765, 5,5
10:49:38.765, 5,5
10:49:44.982, 5,5
10:49:44.982, 5,5
10:49:44.983, 5,5
10:49:44.983, 5,5
10:49:51.203, 5,5
10:49:51.204, 5,5
10:49:51.204, 5,5
10:49:51.204, 5,5
10:49:57.422, 5,5
10:49:57.422, 5,5
10:49:57.422, 5,5
10:49:57.423, 5,5
10:50:03.640, 5,5
10:50:03.640, 5,5
10:50:05.559, 5,5
10:50:07.609, 5,5
10:50:11.803, 5,5
10:50:13.880, 5,5
10:50:16.957, 5,4
10:50:19.207, 5,4
10:50:25.351, 5,4
10:50:30.500, 5,3
10:50:32.388, 5,3
10:50:34.232, 5,3
10:50:39.060, 5,3
10:50:45.163, 5,2
10:50:47.702, 5,3
10:50:49.496, 5,2
10:50:53.489, 5,3
10:51:00.078, 5,3
10:51:01.000, 5,3
10:51:04.802, 5,2
10:51:05.051, 5,3
10:51:16.865, 5,3
10:51:17.661, 5,2
10:51:17.910, 5,3
10:51:20.625, 5,3
10:51:28.854, 5,3
10:51:29.040, 5,3
10:51:29.869, 5,3
10:51:32.344, 5,3
10:51:35.071, 5,3
10:51:35.263, 5,4
10:51:39.849, 5,3
10:51:41.291, 5,4
10:51:41.391, 5,3
10:51:41.481, 5,4
10:51:47.509, 5,5
10:51:48.336, 5,4
10:51:48.429, 5,5
10:51:50.178, 5,3
10:51:53.728, 5,5
10:51:59.559, 5,4
10:52:01.277, 5,4
10:52:01.703, 5,3
10:52:02.251, 5,5
10:52:11.628, 5,4
10:52:11.702, 5,4
10:52:12.087, 5,3
10:52:16.634, 5,4
10:52:18.283, 5,4
10:52:24.023, 5,3
10:52:24.615, 5,3
10:52:25.125, 5,3
10:52:26.118, 5,4
10:52:33.527, 5,3
10:52:35.436, 5,3
10:52:36.729, 5,4
10:52:36.824, 5,3
10:52:42.460, 5,4
10:52:46.927, 5,4
10:52:47.776, 5,4
10:52:48.947, 5,3
10:52:55.547, 5,4
10:52:57.941, 5,3
10:53:00.324, 5,3
10:53:01.051, 5,3
10:53:03.121, 5,4
10:53:10.262, 5,3
10:53:11.632, 5,3
10:53:12.906, 5,4
10:53:15.496, 5,3
10:53:21.701, 5,3
10:53:23.487, 5,3
10:53:24.210, 5,3
10:53:25.070, 5,4
10:53:30.108, 5,3
10:53:32.893, 5,4
10:53:33.591, 5,3
10:53:34.281, 5,3
10:53:37.558, 5,4
10:53:44.956, 5,3
10:53:46.687, 5,3
10:53:47.642, 5,3
10:53:48.523, 5,4
10:53:57.031, 5,3
10:53:58.128, 5,3
10:53:59.423, 5,3
10:54:01.173, 5,4
10:54:09.766, 5,3
10:54:11.091, 5,3
10:54:11.951, 5,3
10:54:12.107, 5,3
10:54:20.811, 5,3
10:54:21.642, 5,3
10:54:23.362, 5,3
10:54:23.672, 5,3
10:54:30.149, 5,3
10:54:31.350, 5,3
10:54:34.728, 5,3
10:54:37.473, 5,3
10:54:40.593, 5,4
10:54:41.092, 5,4
10:54:43.902, 5,3
10:54:49.125, 5,3
10:54:51.163, 5,4
10:54:51.464, 5,4
10:54:52.833, 5,4
10:54:58.522, 5,4
10:54:59.702, 5,3
10:55:01.734, 5,4
10:55:04.968, 5,3
10:55:08.553, 5,4
10:55:08.877, 5,3
10:55:11.879, 5,4
10:55:14.500, 5,3
10:55:16.293, 5,4
10:55:19.754, 5,4
10:55:20.896, 5,4
10:55:24.523, 5,4
10:55:27.725, 5,3
10:55:34.212, 5,3
10:55:34.459, 5,3
10:55:35.995, 5,4
10:55:37.971, 5,4
10:55:40.679, 5,3
10:55:42.623, 5,4
10:55:44.075, 5,4
10:55:48.480, 5,4
10:55:50.713, 5,3
10:55:55.589, 5,4
10:55:55.755, 5,3
10:55:57.561, 5,4
10:56:01.728, 5,3
10:56:06.251, 5,4
10:56:06.958, 5,4
10:56:07.207, 5,3
10:56:14.843, 5,3
10:56:18.095, 5,3
10:56:18.214, 5,4
10:56:18.532, 5,3
10:56:23.808, 5,3
10:56:26.998, 5,3
10:56:28.004, 5,4
10:56:29.165, 5,3
10:56:34.916, 5,3
10:56:37.632, 5,4
10:56:38.254, 5,3
10:56:39.363, 5,3
10:56:45.909, 5,4
10:56:46.625, 5,3
10:56:51.879, 5,3
10:56:53.237, 5,3
10:56:53.454, 5,4
10:56:54.313, 5,4
10:57:01.350, 5,3
10:57:01.964, 5,4
10:57:02.946, 5,4
10:57:03.057, 5,3
10:57:09.372, 5,4
10:57:10.844, 5,3
10:57:14.492, 5,4
